,Institution Name,Has Resource(s),Has Project(s),IPEDS,unitid,name
167,New Jersey Institute of Technology,False,True,,185828.0,New Jersey Institute of Technology
168,New Mexico State University,True,True,,,
169,New York University,True,True,,193900.0,New York University
170,Niagara University,True,False,,193973.0,Niagara University
171,Nicholls State University,False,True,,159966.0,Nicholls State University
172,Niels Bohr Institute,True,False,,,
173,North Carolina State University,True,True,,,
174,North Dakota State University,True,True,,,
175,Northeastern University,True,True,,167358.0,Northeastern University
176,Northern Illinois University,True,True,,147703.0,Northern Illinois University
177,Northwest Missouri State University,False,True,,178624.0,Northwest Missouri State University
178,Northwestern University,True,True,,147767.0,Northwestern University
179,OSG,False,True,,,
180,Oak Ridge National Laboratory,True,False,,,
181,Ohio State University,False,True,,,
182,Ohio Supercomputer Center,True,False,,,
183,Oklahoma State University,True,True,,,
184,Oklahoma University,False,True,,,
185,Old Dominion University,True,False,,232982.0,Old Dominion University
186,Open Science Grid,False,True,,,
187,Oregon State University,False,True,,209542.0,Oregon State University
188,PNNL,True,False,,,
189,Pacific Northwest National Laboratory,False,True,,,
190,Pacific Research Platform,False,True,,,
191,Pacific Rim Application and Grid Middleware Assembly (PRAGMA),False,True,,,
192,Penn State University,True,False,,,
193,Pennsylvania State University,False,True,,,
194,Pittsburgh Supercomputing Center,True,False,,,
195,Pontificia Universidad Javeriana,True,False,,,
196,Portland State University,True,True,,209807.0,Portland State University
197,Princeton University,True,True,,186131.0,Princeton University
198,Purdue University,True,True,,,
199,Purdue University Calumet,False,True,,,
200,Renaissance Computing Institute,False,True,,,
201,Rensselaer Polytechnic Institute,False,True,,194824.0,Rensselaer Polytechnic Institute
202,Repertoire Immune Medicines,False,True,,,
203,Rhodes College,True,False,,221351.0,Rhodes College
204,Rice University,True,True,,227757.0,Rice University
205,Rochester Institute of Technology,True,True,,195003.0,Rochester Institute of Technology
206,Rockefeller University,False,True,,195049.0,Rockefeller University
207,Roswell Park Cancer Institute,False,True,,,
208,Rowan University,False,True,,184782.0,Rowan University
209,Rutgers University,True,False,,,
210,"Rutgers, The State University of New Jersey",False,True,,,
211,SLAC National Accelerator Laboratory,False,True,,,
212,SUNY Albany,True,False,,,
213,SUNY Geneseo,True,False,,,
214,SUNY Upstate Medical University,False,True,,,
215,Salem State University,False,True,,167729.0,Salem State University
216,San Diego State University,False,True,,122409.0,San Diego State University
217,Sandia National Laboratories,False,True,,,
218,Santa Clara University,False,True,,122931.0,Santa Clara University
219,SeaQuest,False,True,,,
220,Siena College,False,True,,195474.0,Siena College
221,South Dakota School of Mines and Technology,False,True,,219347.0,South Dakota School of Mines and Technology
222,South Dakota State University,False,True,,219356.0,South Dakota State University
223,Southern Illinois University,False,True,,,
224,Southern Illinois University Edwardsville,True,True,,,
225,Southern Methodist University,True,True,,228246.0,Southern Methodist University
226,Southwest Oklahoma State University,False,True,,,
227,Space Telescope Science Institute,False,True,,,
228,Spelman College,False,True,,141060.0,Spelman College
229,Stanford University,True,True,,243744.0,Stanford University
230,State University of New York at Albany,False,True,,,
231,State University of New York at Binghamton,False,True,,,
232,State University of New York at Buffalo,False,True,,,
233,State University of New York at Stony Brook,False,True,,,
234,Steadman Philippon Research Institute,False,True,,,
235,Stony Brook University,True,False,,196097.0,Stony Brook University
236,Susquehanna University,True,False,,216278.0,Susquehanna University
237,Swarthmore College,False,True,,216287.0,Swarthmore College
238,Swinburne University of Technology,True,False,,,
239,Syracuse University,True,True,,196413.0,Syracuse University
240,Tennessee Tech University,False,True,,,
241,Texas A&M University,True,True,,,
242,Texas Advanced Computing Center,True,False,,,
243,Texas Tech University,True,True,,229115.0,Texas Tech University
244,The Citadel,False,True,,,
245,The College of New Jersey,True,True,,187134.0,The College of New Jersey
246,The Ohio State University,True,True,,,
247,The Pennsylvania State University,False,True,,495767.0,The Pennsylvania State University
